1,2025/01/05,12:00,FeliCa,電子マネー,セブンイレブン,昼食,食費,-650,50000
2,2025/01/10,18:30,VISAカード,クレジットカード,スターバックス,カフェ利用,食費,-1200,48800
3,2025/01/15,10:00,三井住友銀行,口座取引,モバイルSuica,交通費チャージ,交通費,-3000,45800
4,2025/01/20,20:00,VISAカード,クレジットカード,サイゼリヤ,友人夕食,食費,-1500,44300
5,2025/01/25,10:00,三井住友銀行,口座取引,居酒屋バイト,アルバイト代,収入,54200,98500
6,2025/01/27,10:00,三井住友銀行,口座取引,ドコモ,携帯料金,その他,-6200,92300
7,2025/02/01,09:00,VISAカード,クレジットカード,Apple,サブスク代,その他,-1100,91200
8,2025/02/10,13:00,三井住友銀行,口座取引,大学食堂,学食利用,食費,-550,90650
9,2025/02/14,19:00,VISAカード,クレジットカード,映画館,映画鑑賞,趣味,-1800,88850
10,2025/02/25,10:00,三井住友銀行,口座取引,居酒屋バイト,アルバイト代,収入,58000,146850
11,2025/02/27,10:00,三井住友銀行,口座取引,ドコモ,携帯料金,その他,-5800,141050
12,2025/03/05,15:00,VISAカード,クレジットカード,Amazon,参考書購入,その他,-3200,137850
13,2025/03/12,10:00,三井住友銀行,口座取引,モバイルSuica,交通費チャージ,交通費,-5000,132850
14,2025/03/20,18:00,VISAカード,クレジットカード,ユニクロ,服購入,衣服・美容,-7800,125050
15,2025/03/25,10:00,三井住友銀行,口座取引,居酒屋バイト,アルバイト代,収入,52500,177550
16,2025/03/27,10:00,三井住友銀行,口座取引,ドコモ,携帯料金,その他,-6100,171450
17,2025/04/10,12:30,三井住友銀行,口座取引,大学食堂,学食利用,食費,-550,170900
18,2025/04/25,10:00,三井住友銀行,口座取引,居酒屋バイト,アルバイト代,収入,51000,221900
19,2025/05/03,11:00,FeliCa,電子マネー,ディズニーランド,パーク内利用,趣味,-12000,209900
20,2025/05/15,10:00,三井住友銀行,口座取引,モバイルSuica,交通費チャージ,交通費,-3000,206900
21,2025/05/25,10:00,三井住友銀行,口座取引,居酒屋バイト,アルバイト代,収入,56000,262900
22,2025/07/25,10:00,三井住友銀行,口座取引,居酒屋バイト,アルバイト代,収入,62000,324900
23,2025/08/15,14:00,VISAカード,クレジットカード,楽天トラベル,旅行代金,趣味,-45000,279900
24,2025/08/25,10:00,三井住友銀行,口座取引,居酒屋バイト,アルバイト代,収入,65000,344900
25,2025/12/25,10:00,三井住友銀行,口座取引,居酒屋バイト,アルバイト代,収入,59000,403900
26,2025/12/30,18:00,三井住友銀行,口座取引,ATM出金,帰省小遣い,その他,-20000,383900
27,2026/01/25,10:00,三井住友銀行,口座取引,居酒屋バイト,アルバイト代,収入,48000,431900
28,2026/04/15,12:30,三井住友銀行,口座取引,大学食堂,学食利用,食費,-550,431350
29,2026/07/01,10:00,VISAカード,クレジットカード,Apple,サブスク代,その他,-1100,430250
30,2026/07/05,12:00,FeliCa,電子マネー,セブンイレブン,昼食,食費,-720,429530
31,2026/07/10,19:00,VISAカード,クレジットカード,メルカリ,ホビー購入,趣味,-3500,426030
32,2026/07/20,21:00,VISAカード,クレジットカード,居酒屋,サークル打ち上げ,食費,-4000,422030
33,2026/07/25,10:00,三井住友銀行,口座取引,居酒屋バイト,アルバイト代,収入,55800,477830
34,2026/07/27,10:00,三井住友銀行,口座取引,ドコモ,携帯料金,その他,-6300,471530
35,2026/08/01,11:00,VISAカード,クレジットカード,Amazon,夏服購入,衣服・美容,-8900,462630
36,2026/08/10,15:00,三井住友銀行,口座取引,モバイルSuica,交通費チャージ,交通費,-3000,459630
37,2026/08/15,19:00,VISAカード,クレジットカード,カラオケ,友人レジャー,趣味,-2200,457430
38,2026/08/25,10:00,三井住友銀行,口座取引,居酒屋バイト,アルバイト代,収入,57200,514630
39,2026/08/27,10:00,三井住友銀行,口座取引,ドコモ,携帯料金,その他,-6100,508530
